Timestamp,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
1741000362.1020842,-0.2588469439899021,-0.2638690414220541,-0.3244807759095451,-0.24181064634492186,-0.18541000452200526,-0.22203835201872876,-0.169134977521097,-0.17035701598437772
1741000362.1020842,-0.2442249209443587,-0.2492203631751304,-0.30721497650384333,-0.22732003964106728,-0.17165367947477858,-0.20734523254159676,-0.1602054850587016,-0.16265666686004962
1741000362.1020842,-0.23152660235191871,-0.23644412937865575,-0.2913196549923648,-0.21449779105151215,-0.15944926888930996,-0.19447406045183382,-0.15148942494224213,-0.15449469160949159
1741000362.1020842,-0.22042154000942407,-0.2253575206371167,-0.27561602204895197,-0.20337699308029572,-0.14831812355011584,-0.18368733464675382,-0.1375261048517385,-0.1395199997456859
1741000362.131891,-0.21108497160036774,-0.21601351356721002,-0.26240038274135147,-0.1941558669655894,-0.1389470321253183,-0.17489588656359983,-0.12309100200192087,-0.12390696587673201
1741000362.131891,-0.20335539235359576,-0.20825179549086684,-0.2537940905561575,-0.1867079554729379,-0.131786605801042,-0.16749933044104953,-0.11599332745763824,-0.117145890735926
1741000362.131891,-0.19641764901759484,-0.20125487665412722,-0.24695934406269934,-0.17989633558532847,-0.12560879796485788,-0.16044638322931556,-0.11448799999364144,-0.11686121890723136
1741000362.131891,-0.1896078411114746,-0.194410450364819,-0.2387206457011916,-0.17302139171304462,-0.11924859988667093,-0.1534947639298054,-0.11156155452117127,-0.11448990734257741
1741000362.161825,-0.18321507505020582,-0.18801353581961447,-0.22905324761918996,-0.16656935478359033,-0.11279537086413166,-0.14737374740819,-0.10234910684412364,-0.10428082216275819
1741000362.161825,-0.17775614702799158,-0.18251121560910674,-0.220783602521196,-0.16116397558275367,-0.10729357517458135,-0.1424043881741178,-0.09186536341752366,-0.09264217895542387
1741000362.161825,-0.17327101600504066,-0.1780076786689236,-0.21614874460677083,-0.156944729001478,-0.10331804010360018,-0.1382046442357125,-0.08791328873845501,-0.08901254161398221
1741000362.161825,-0.16899192635089869,-0.1737139977954214,-0.21249235669650207,-0.1528360609747656,-0.09975296652364135,-0.13384535055881264,-0.08892666322813983,-0.09123355408248113
1741000362.161825,-0.16449649564369345,-0.169184520909709,-0.20714481785214894,-0.14825832816097295,-0.09570490450936964,-0.12920519975109013,-0.08823677511799678,-0.09109689253121835
1741000362.161825,-0.16013486546434705,-0.16482956645163852,-0.20004638036829192,-0.14388816259513804,-0.09130770227236726,-0.12511779866501388,-0.0811264167032899,-0.08300906547054643
1741000362.161825,-0.15643980605440136,-0.16110923466829113,-0.1939269850932721,-0.1402639135144405,-0.08752948244881295,-0.1218963816795948,-0.07247534950182384,-0.07322918148504552
1741000362.161825,-0.1535032993162939,-0.15815937648763181,-0.19116814790855094,-0.13757021229588298,-0.08505107324140387,-0.11921298014529154,-0.0699845425263309,-0.07103997406005402
1741000362.1922328,-0.15055120000063482,-0.15518219553346463,-0.18909962798748342,-0.1347644066436134,-0.08280726795312002,-0.11616894661091835,-0.07219701960834134,-0.07440477600173521
1741000362.1922328,-0.14733750777840643,-0.15190966159656136,-0.18528636062723053,-0.1314477652625656,-0.07996035893128009,-0.11276122931817767,-0.07265111170627415,-0.07540408379301719
1741000362.1922328,-0.1440347900445913,-0.14862196423561705,-0.17952650062664247,-0.12807075628769415,-0.07658306385406824,-0.10971505001625151,-0.06665097342347634,-0.06846462384297389
1741000362.1922328,-0.14130771021965416,-0.14588324958217044,-0.17461593542352175,-0.12541043367551624,-0.07376109341956623,-0.10744854727562951,-0.059040031280522175,-0.05975070949406737
1741000362.1922328,-0.13929025956634744,-0.14381949803344285,-0.17290828592114116,-0.12361967144325041,-0.07213755800526224,-0.10565792809453389,-0.05737515407803087,-0.05839262936792803
1741000362.1922328,-0.13716957365188093,-0.1416431652137692,-0.171836975707526,-0.12159573580356135,-0.07068153551126045,-0.1034255668998659,-0.06026898388369584,-0.06241155662720269
1741000362.1922328,-0.13465893024745382,-0.13913886374455423,-0.16889117064335565,-0.1190650175515831,-0.06855555670349661,-0.10074946097524276,-0.06138630889039142,-0.0640674692896949
1741000362.1922328,-0.13208238793728871,-0.13662411953991477,-0.16404087766661185,-0.11650025312109763,-0.06589218233302112,-0.09843336716228536,-0.05614806114006979,-0.05792456593903917
1741000362.2222562,-0.12998053709356497,-0.13450286142076748,-0.15990722336883814,-0.11443564326534886,-0.06363016186239867,-0.09676343548511372,-0.04920731372949469,-0.04992895919942175
1741000362.2222562,-0.12844478741403934,-0.13290021147731243,-0.15876600881671946,-0.11306921848761463,-0.0624868969101738,-0.09543544378843943,-0.04801531601195559,-0.04901128594259961
1741000362.2222562,-0.12684690584292424,-0.13122574984641783,-0.15835020674867636,-0.11151825770032457,-0.06155382181069364,-0.09368940888872228,-0.05131064276864381,-0.05339604272779474
1741000362.2222562,-0.12486726838227326,-0.1292426791576821,-0.15609223939454286,-0.10950719666595336,-0.0599165534840506,-0.09153591657255696,-0.052872237026251934,-0.05549508023183791
1741000362.251329,-0.12276346250589014,-0.12716648215714726,-0.1518312695552927,-0.10738550939329546,-0.0576934906154455,-0.08965269560061964,-0.048130949041199224,-0.049850996311663676
1741000362.251329,-0.12103335396978841,-0.12543613520242852,-0.14817316503098155,-0.10569721948261503,-0.055833539300527105,-0.08835875008245254,-0.041657978957172596,-0.042332274489764024
1741000362.251329,-0.1198842716033088,-0.12427532263999266,-0.1474837060743491,-0.10474893327537045,-0.05502963940773602,-0.08742138344786643,-0.04080768280151386,-0.04175396629237566
1741000362.251329,-0.11868626573662137,-0.1230462746693722,-0.14753010233721675,-0.10366951682877742,-0.05445228488481565,-0.0860881465416182,-0.04437537898625965,-0.04639950536084231
1741000362.251329,-0.11702005338987488,-0.12134859106518209,-0.14567897251112727,-0.10191127489587001,-0.053127631048779315,-0.08423363117116735,-0.046206195546180995,-0.04875918209698679
1741000362.251329,-0.11524679108409666,-0.11959192269514686,-0.14179689753800898,-0.10010182064403163,-0.05118122914333774,-0.08265820863377338,-0.041806847541625634,-0.043492133377731904
1741000362.251329,-0.11385690591444991,-0.11820895166539303,-0.13858887967886513,-0.09878913542256855,-0.049627979537324514,-0.08168984757897764,-0.035685258815329454,-0.036343389565688465
1741000362.251329,-0.11295387156071139,-0.11730153040910175,-0.13826496414581277,-0.09809376368423459,-0.04909950083088857,-0.08102175093042814,-0.0350646074715624,-0.035994583129021596
1741000362.282049,-0.1119894205712344,-0.11625678002942012,-0.13854586896035884,-0.09717237109698727,-0.04870544254071563,-0.07989407855575488,-0.03875728269533811,-0.04075036696598774
1741000362.282049,-0.11059047549414175,-0.11483528055115953,-0.13697960169785758,-0.09571763606351728,-0.04759507935763636,-0.07830063157091592,-0.04079137496811125,-0.04332977029955682
1741000362.282049,-0.10902687852015085,-0.11328079116833792,-0.1334429476170448,-0.09405385558666417,-0.04588785900876636,-0.0769080761127588,-0.03667345629905936,-0.038331657780274746
1741000362.282049,-0.1078723602092037,-0.11212322109909321,-0.13056513954244206,-0.09292308376996995,-0.04456721060549558,-0.07614146489166607,-0.030827717912628918,-0.031465583080543175
1741000362.282049,-0.10721604144033386,-0.11145955903681987,-0.1305021970275548,-0.09250937978575643,-0.04423828828148627,-0.07568966161245641,-0.030373816549589688,-0.031279807294178966
1741000362.282049,-0.10645458006136828,-0.1106362995523286,-0.13102194961260866,-0.09183937578827096,-0.044021661126082634,-0.07477570768605943,-0.03418722696101278,-0.0361376342992199
1741000362.282049,-0.105226151979152,-0.10939032385990134,-0.12971713220550649,-0.09052464016670173,-0.04310866087415364,-0.0733655569339679,-0.03637610059994048,-0.03885551116554095
1741000362.282049,-0.10384136896790899,-0.1080674820053542,-0.1264042578386073,-0.08907419666833769,-0.04154143993718438,-0.07216640665791889,-0.032455258759698465,-0.034098249133149426
1741000362.282049,-0.10282737458981998,-0.10706245216726429,-0.12371151029451773,-0.08814164608981491,-0.040358406759644375,-0.07154303734191807,-0.02681975790973613,-0.02744098145818398
1741000362.282049,-0.10234581666720909,-0.10650641226870346,-0.12380497039238063,-0.08779841864878576,-0.04016552609849365,-0.0712186926553551,-0.026475910580302797,-0.027353720244363014
1741000362.282049,-0.10174533553843998,-0.10587431683132054,-0.1245424468584763,-0.08729158835277316,-0.04010291736967019,-0.07046466993723982,-0.03036585336778198,-0.03227105653620644
1741000362.282049,-0.10067660024588843,-0.10480934855291754,-0.1234268384658231,-0.08616115032214273,-0.03931222586826075,-0.06920434144406934,-0.03266664070552816,-0.03510017952921837
1741000362.310403,-0.09943424851643952,-0.10359012342931737,-0.12032687192390237,-0.08486815847844363,-0.03789930946021206,-0.06814681182651665,-0.02893062097718236,-0.030553155033294966
1741000362.310403,-0.0985149063292984,-0.10268913947568502,-0.11778480494575504,-0.08400141143821209,-0.0367975770310681,-0.06761704565954892,-0.023437217622950344,-0.0240579166504408
1741000362.310403,-0.09810101161019129,-0.1022431536107301,-0.11795875516871618,-0.08375793834653457,-0.036689382662674776,-0.06740323184382584,-0.023182920326061153,-0.02403703117959185
1741000362.310403,-0.09769021633310515,-0.10177880951226638,-0.1188782880907509,-0.0834258212130575,-0.03677425969032577,-0.06680499185005652,-0.027141384624065325,-0.029026369893768427
1741000362.34196,-0.09674107181883938,-0.10079828910800379,-0.11798340765371369,-0.08236214039518629,-0.03610668756273367,-0.06563588231974915,-0.0295188950727612,-0.031926732369539114
1741000362.34196,-0.09562298387256941,-0.09965807591407648,-0.1150916759318783,-0.0811434397925435,-0.03480463581158867,-0.06464882924538082,-0.025927738496102883,-0.027498917182114297
1741000362.34196,-0.09487668591764484,-0.09896580361776347,-0.11275264624796577,-0.08047362652995162,-0.0338471943294514,-0.06427327223988687,-0.020620063244511672,-0.02122025827094037
1741000362.34196,-0.0945672662365059,-0.09865509647609275,-0.11305434116591401,-0.08034712161177292,-0.03382659496094284,-0.06417857236521558,-0.020418599513149054,-0.02127619127848791
1741000362.34196,-0.09412194794367856,-0.09818803440539527,-0.11389576814902044,-0.08005691847116395,-0.03389106335497888,-0.06361809788037862,-0.024360946712644216,-0.026229433414051113
1741000362.34196,-0.09329220347280498,-0.09729534741963443,-0.11309759030303729,-0.07908235853232629,-0.03328633837482723,-0.06253968279197697,-0.026796631303887403,-0.02919450270247484
1741000362.34196,-0.09229408777460799,-0.096316638996861,-0.11039869155862922,-0.07796393679999251,-0.032105689383457196,-0.06165319469025806,-0.023340658083066488,-0.024928907542054898
1741000362.34196,-0.09160214926435878,-0.09566513628405451,-0.10811583330088122,-0.0773563984801603,-0.03119178314078361,-0.061342344497417135,-0.018138220809017832,-0.018760779501720865
1741000362.3706088,-0.09140793345895287,-0.0954547080126928,-0.10859505472104555,-0.07738024034186002,-0.03127646943354101,-0.061347351288374076,-0.017990067480415782,-0.018860295432455487
1741000362.3706088,-0.09107896345122016,-0.09509822449655862,-0.10959398104254034,-0.07713714871996968,-0.03144403003756663,-0.06086584104948658,-0.021970227872566698,-0.023816064805358864
1741000362.3706088,-0.09030229096449015,-0.09428593226844922,-0.10887243094006008,-0.0762402655665497,-0.030915169861343482,-0.05986438749065162,-0.02446985633688853,-0.026836494896649334
1741000362.3706088,-0.08936292161352126,-0.09333812289843864,-0.10623494883139047,-0.07519694569857004,-0.02976761337401266,-0.05905276283466982,-0.021110538023398268,-0.022689155370259995
1741000362.3706088,-0.08873502234379749,-0.09276134058019907,-0.1040852712130971,-0.07462888950171256,-0.028926901646757205,-0.05878845195586675,-0.016006853740509842,-0.01662020947459679
1741000362.3706088,-0.08860980488615057,-0.09258681815255712,-0.10464846367016784,-0.07466336483373036,-0.029053644983552902,-0.058811006357034686,-0.015880062719990744,-0.01671624449352325
